Word1,Word2
affected,unaffected
evil,good
edible,inedible
limbed,limbless
concealed,unconcealed
get_well,get_worse
unwholesome,wholesome
certify,decertify
herbivorous,omnivorous
collateral,lineal
nasty,nice
intolerance,tolerance
difference,sameness
invertebrate,vertebrate
immorality,morality
ametabolic,metabolic
ethical,unethical
confidence,diffidence
fissionable,nonfissionable
disinflation,inflation
accentual,quantitative
elegantly,inelegantly
criminalization,decriminalization
bracteate,ebracteate
old,young
successful,unsuccessful
proved,unproved
existence,nonexistence
atypicality,typicality
expansive,unexpansive
clement,inclement
soft-finned_fish,spiny-finned_fish
multiculturalism,nationalism
intestate,testate
likeness,unlikeness
assembly,disassembly
multiparous,uniparous
heavy-duty,light-duty
censored,uncensored
midi,mini
lossless,lossy
brave,cowardly
amphibious,aquatic
offending,unoffending
essentiality,inessentiality
falsehood,truth
asymmetrically,symmetrically
comfort,discomfort
loser,winner
illegibly,legibly
dishonorableness,honorableness
dethrone,enthrone
natural,supernatural
moneyed,moneyless
abaxially,adaxially
accessibility,inaccessibility
counterfeit,genuine
bivalve,univalve
parallel_operation,serial_operation
disproportion,proportion
committed,uncommitted
biodegradable_pollution,nonbiodegradable_pollution
depressurize,pressurize
anticlinal,synclinal
insalubriousness,salubriousness
dry,wet
string,unstring
friendliness,unfriendliness
impervious,pervious
cenogenetic,palingenetic
former,latter
grassless,grassy
memorably,unmemorably
dangerousness,safeness
point_of_apoapsis,point_of_periapsis
mitigated,unmitigated
cash_account,margin_account
anal,oral
hypertonia,hypotonia
destalinize,stalinize
industrial,nonindustrial
dissuasion,persuasion
ignoble,noble
hopefulness,hopelessness
digestibility,indigestibility
full-time,half-time
smilingly,unsmilingly
shrink,stretch
obligatorily,optionally
unventilated,ventilated
pain,pleasure
reasonably,unreasonably
acarpelous,carpellate
obtrusively,unobtrusively
armored,unarmored
shod,unshod
blond,brunet
ecdemic,endemic
tastefully,tastelessly
automatic,manual
accrual_basis,cash_basis
turn_in,turn_out
adroit,maladroit
anode,cathode
check_in,check_out
extensile,nonextensile
barreled,unbarreled
expert_witness,lay_witness
attributable,unattributable
shelled,unshelled
susceptibility,unsusceptibility
stifle,stimulate
diurnal,nocturnal
constant,inconstant
sexy,unsexy
failure,success
negative,neutral
insolvent,solvent
respectable,unrespectable
looseness,tightness
general_agent,special_agent
say_farewell,welcome
afebrile,febrile
invisibly,visibly
de-ionate,ionate
curliness,straightness
crooked,straight
primarily,secondarily
amateur,professional
denationalization,nationalization
acidic,alkaline
disesteem,esteem
deflation,disinflation
depersonalise,personalise
market_economy,non-market_economy
conspicuously,inconspicuously
revived,unrevived
hopeful,hopeless
laced,unlaced
hypotonic,isotonic
fewest,most
desirous,undesirous
publicized,suppressed
annual,perennial
coordinating,subordinating
hand_mower,power_mower
steadiness,unsteadiness
immoderately,moderately
impartial,partial
extrasensory,sensory
processed,unprocessed
badly,well
abridged,unabridged
commissioned,noncommissioned
insignificant,significant
earliness,lateness
clergy,laity
divide,unite
achiever,loser
plural,singular
bimodal,unimodal
forgivably,unforgivably
carefulness,carelessness
astringent,nonastringent
intermediate,terminal
insentient,sentient
criticize,praise
apologetic,unapologetic
subjacent,superjacent
acidify,alkalize
consciously,unconsciously
unwind,wind
specialized,unspecialized
familiar,strange
consequentially,inconsequentially
altruism,egoism
numerical,verbal
compatibility,incompatibility
nephew,niece
lowercase,uppercase
anodic,cathodic
imitative,nonimitative
follower,leader
hard_water,soft_water
imprecise,precise
curable,incurable
calcify,decalcify
gross,net
unwillingly,willingly
closed_chain,open_chain
predictable,unpredictable
nonretractile,retractile
long-spurred,short-spurred
datable,undatable
groomed,ungroomed
effectively,ineffectively
dimmed,undimmed
continuant_consonant,stop_consonant
being,nonbeing
limited,unlimited
susceptible,unsusceptible
CISC,RISC
allopatry,sympatry
just,unjust
leaded,unleaded
sugarless,sugary
justly,unjustly
high-resolution,low-resolution
equally,unequally
split_ticket,straight_ticket
caution,incaution
cubic,linear
bloodless,bloody
disenchanted,enchanted
extrospective,introspective
thinkable,unthinkable
difficult,easy
capableness,incapableness
downriver,upriver
optimist,pessimist
exclusive,inclusive
parallelogram,trapezium
disembarrassment,embarrassment
godliness,ungodliness
high-sudsing,low-sudsing
unwritten,written
algorithmic,heuristic
marked,unmarked
pedunculate,sessile
disorienting,orienting
ovoviviparous,viviparous
overtime,regulation_time
dorsal,ventral
democratic,undemocratic
ionized,nonionized
autumnal,summery
following,leading
puncturable,punctureless
deoxidize,oxidize
fail,pass
campylotropous,orthotropous
stained,unstained
fast,slow
general,specific
agitation,calmness
caducous,persistent
involuntarily,voluntarily
beneficed,unbeneficed
fall_asleep,wake_up
disintegrate,integrate
tanned,untanned
new,worn
female_aristocrat,male_aristocrat
calm,stormy
wigged,wigless
abient,adient
achromatic,chromatic
generality,particularity
amended,unamended
acknowledged,unacknowledged
immodesty,modesty
attention,inattention
calced,discalced
irrational,rational
bare,covered
concern,unconcern
federal,unitary
interested,uninterested
propitiously,unpropitiously
mistrust,trust
fissile,nonfissile
scented,scentless
flatten,sharpen
dispensableness,indispensableness
equity,inequity
harmonic,nonharmonic
labeled,unlabeled
righteous,unrighteous
strong,weak
categorem,syncategorem
gracefully,ungracefully
allow,deny
conventionality,unconventionality
irremediable,remediable
subhuman,superhuman
breakable,unbreakable
hypertensive,hypotensive
extraordinary,ordinary
abstemious,gluttonous
impenitent,penitent
active,quiet
domestic,foreign
ostentatious,unostentatious
earthly,heavenly
anaphrodisiac,aphrodisiac
smokeless,smoky
gaseous,solid
attract,repel
keep_track,lose_track
felicitous,infelicitous
foolish,wise
shortness,tallness
least,most
insanity,sanity
downstairs,upstairs
counterfactuality,factuality
estivate,hibernate
inoperative,operative
topless,topped
good_humor,ill_humor
center,right
fallible,infallible
above,below
impolitic,politic
civilian,military
skilled,unskilled
multilaterally,unilaterally
fresh,salty
receptive,unreceptive
abstractness,concreteness
maximal,minimal
illegal,legal
thicken,thin
louden,quieten
indulgent,nonindulgent
disrespectful,respectful
horned,hornless
scalable,unscalable
curly,straight
punch_in,punch_out
military,unmilitary
instructively,uninstructively
acutely,chronically
adjective,substantive
lost,won
impolite,polite
adulterating,purifying
hypertonic,hypotonic
bridgeable,unbridgeable
insensitively,sensitively
lawfulness,unlawfulness
block,unblock
deodourise,odourise
apocrine,eccrine
sociably,unsociably
ever,never
gratitude,ingratitude
causative,noncausative
boycott,patronize
nonvolatile,volatile
belt,unbelt
hypersomnia,insomnia
disingenuousness,ingenuousness
contract,expand
demobilize,mobilize
function,malfunction
rentable,unrentable
emotionality,unemotionality
tameness,wildness
curableness,incurableness
consciousness,unconsciousness
abduct,adduct
displease,please
commonness,uncommonness
constricted,unconstricted
by_hand,by_machine
disenfranchise,enfranchise
monoclinic,triclinic
employed,unemployed
decrement,increment
new,old
infectious,noninfectious
borrow,lend
agitated,unagitated
jawed,jawless
mortal_sin,venial_sin
eucaryotic,procaryotic
clock_in,clock_out
immediate,mediate
pop_in,pop_out
purposeful,purposeless
denazify,nazify
hydrokinetic,hydrostatic
convenient,inconvenient
no_longer,still
close,distant
resentful,unresentful
activate,inactivate
depressurise,pressurise
parented,unparented
sanitariness,unsanitariness
father,mother
disobediently,obediently
unvaried,varied
immovability,movability
inoffensive,offensive
enforce,exempt
fasten,unfasten
northernness,southernness
few,many
ebbtide,flood_tide
fancy,plain
eradicable,ineradicable
harden,soften
incoming,outgoing
bottomed,bottomless
insecurity,security
tubed,tubeless
good_fortune,misfortune
nonradioactive,radioactive
antiseptic,septic
astigmatism,stigmatism
femininity,masculinity
mercifulness,mercilessness
absolute,relative
colored,uncolored
pleasingness,unpleasingness
disincentive,incentive
immaturity,maturity
child,parent
valgus,varus
rest_day,workday
primary,secondary
divest,invest
prejudiced,unprejudiced
suitableness,unsuitableness
guilt,innocence
antinode,node
cared-for,uncared-for
one-piece,two-piece
like,unlike
mental,physical
posteriority,priority
de-escalate,escalate
sour,sweet
extricable,inextricable
concavely,convexly
disinclined,inclined
bibbed,bibless
impossibility,possibility
good-natured,ill-natured
despair,hope
gravitation,levitation
north,south
oblique_triangle,right_triangle
air_mail,surface_mail
critical,uncritical
coiled,uncoiled
androgynous,male
hyperglycemia,hypoglycemia
bettering,worsening
abducent,adducent
destabilise,stabilize
mechanical,nonmechanical
becomingness,unbecomingness
fat_person,thin_person
flat,sharp
binaurally,monaurally
imperfect,perfect
reproducible,unreproducible
affirmative,negative
finiteness,infiniteness
anovulation,ovulation
otherworldliness,worldliness
income,outgo
apophatism,doctrine_of_analogy
avascular,vascular
opisthognathous,prognathous
frozen,unfrozen
roughness,smoothness
communicativeness,uncommunicativeness
directional,omnidirectional
de-energise,energise
popular,unpopular
expediency,inexpediency
credibly,incredibly
angry,unangry
Cryptogamia,Phanerogamae
gracefully,gracelessly
depersonalize,personalize
email,snail_mail
allow,disallow
agreeableness,disagreeableness
lie,sit
full,thin
color,colorlessness
other,same
intelligibly,unintelligibly
bounce,clear
approbation,disapprobation
acceptable,unacceptable
beautiful,ugly
earned_run,unearned_run
articulated,unarticulated
abundance,scarcity
convincingly,unconvincingly
motion,motionlessness
geometrically,linearly
holiness,unholiness
pronounceable,unpronounceable
knowable,unknowable
audible,inaudible
inwardness,outwardness
alignment,nonalignment
arise,lie_down
avow,disavow
acceptive,rejective
insecurely,securely
nonsmoker,smoker
out,safe
happiness,sadness
courtesy,discourtesy
saddled,unsaddled
malleability,unmalleability
happily,sadly
impressively,unimpressively
differentiated,undifferentiated
manly,unmanly
bottom-up,top-down
dysphemistic,euphemistic
calculable,incalculable
declaratory,interrogatory
surprised,unsurprised
ebb,tide
balanced,unbalanced
frivolity,seriousness
lamented,unlamented
planted,unplanted
imprudence,prudence
dry_season,rainy_season
bidirectional,unidirectional
human,nonhuman
obligatory,optional
sessile,vagile
collective,distributive
excusably,inexcusably
appropriate,inappropriate
digitigrade_mammal,plantigrade_mammal
adequacy,inadequacy
negativity,positivity
inbred,outbred
summerize,winterize
spaced,unspaced
reliability,unreliability
exclusion,inclusion
analogue,digital
crystallized,uncrystallized
hitch,unhitch
irreverent,reverent
intelligibility,unintelligibility
assent,dissent
good_health,ill_health
coarsely,finely
equivocal,unequivocal
decency,indecency
common_noun,proper_noun
give,take
asynchronous,synchronous
autumnal,wintry
consistently,inconsistently
nonstandard,standard
induced,spontaneous
bind,unbind
acute,chronic
descriptive,prescriptive
sanitary,unsanitary
braid,unbraid
bedded,bedless
bend,straighten
awed,unawed
hospitable,inhospitable
swept,unswept
importance,unimportance
tender,tough
tuneful,tuneless
loudness,softness
clothed,unclothed
productiveness,unproductiveness
atonality,tonality
distinguishable,indistinguishable
defeasible,indefeasible
hypertonic,isotonic
covert,overt
cleanliness,uncleanliness
freshness,staleness
aptitude,inaptitude
intransitive,transitive
irresponsibility,responsibility
cacophonous,euphonious
atomistic,holistic
divided,united
high_season,off-season
air-to-air,surface-to-air
distinctness,indistinctness
desensitize,sensitize
productively,unproductively
injectable,uninjectable
demulsify,emulsify
nastiness,niceness
moving,still
healthfulness,unhealthfulness
neutral,positive
competitively,noncompetitively
majority,minority
broken,unbroken
scrupulous,unscrupulous
contaminate,decontaminate
cold-blooded,warm-blooded
antagonist,synergist
asynchronous_operation,synchronous_operation
concave,convex
injudiciousness,judiciousness
proximate,ultimate
banded,unbanded
seamanlike,unseamanlike
perinatal,postnatal
congruousness,incongruousness
improvidence,providence
abience,adience
sportingly,unsportingly
profitability,unprofitability
Arabic_numeral,Roman_numeral
tempered,untempered
irreligious,religious
derivational,inflectional
hatless,hatted
trustworthiness,untrustworthiness
irresolute,resolute
overstatement,understatement
coil,uncoil
objectively,subjectively
acceleration,deceleration
actable,unactable
unwrinkled,wrinkled
compound,simple
catalectic,hypercatalectic
invalid,valid
disorder,order
deservedly,undeservedly
nonviolent,violent
tactfulness,tactlessness
overact,underact
dextral,sinistral
modern,nonmodern
steady,unsteady
fidelity,infidelity
efficient,inefficient
listed_security,unlisted_security
conclusive,inconclusive
complex,simple
discouragingly,encouragingly
opposable,unopposable
beauty,ugliness
heterologous,homologous
insensibility,sensibility
ahistorical,historical
dishonorably,honorably
futurity,pastness
relatedness,unrelatedness
talk_into,talk_out_of
submersible,surface_ship
explosive,nonexplosive
entozoic,epizoic
disloyal,loyal
insalubrity,salubrity
decline,improvement
background,foreground
sensational,unsensational
acaulescent,caulescent
consistent,inconsistent
coastal,inland
commensurate,incommensurate
contentment,discontentment
centrally,peripherally
loosen,stiffen
disorient,orient
perplexed,unperplexed
intolerably,tolerably
directness,indirectness
powerfulness,powerlessness
Arianism,Athanasianism
recto,verso
dominant,subordinate
boycott,patronise
endogamous,exogamous
functional_disorder,organic_disorder
day,night
insured,uninsured
irrationally,rationally
alike,unalike
satisfactory,unsatisfactory
dry,sweet
move,stand_still
attached,unattached
keyed,keyless
thermoplastic,thermosetting
dependableness,undependableness
awkwardness,gracefulness
naturally,unnaturally
sharpness,softness
availability,unavailability
fail,succeed
conditional,unconditional
disposable,nondisposable
inspiring,uninspiring
extraterritorial,territorial
extensor,flexor
absorbent,nonabsorbent
frequent,infrequent
ambidextrous,left-handed
deglycerolize,glycerolize
downtown,uptown
find,lose
priestly,unpriestly
convenience,inconvenience
disrespectfully,respectfully
advance,back
asexual,sexual
compression,decompression
excitingly,unexcitingly
insincerity,sincerity
immanent,transeunt
able,unable
haploid,polyploid
non-volatile_storage,volatile_storage
atomism,holism
nonphotosynthetic,photosynthetic
mindful,unmindful
diploid,polyploid
change,stay
obvious,unobvious
patriotically,unpatriotically
crowned,uncrowned
sit,stand
unweaned,weaned
aphelion,perihelion
artificial,natural
innocuous,noxious
unworldly,worldly
lax,tense
lower,raise
ability,inability
efficaciously,inefficaciously
abundant,scarce
capitalism,socialism
addressed,unaddressed
distinct,indistinct
folly,wisdom
unwrapped,wrapped
hypercalcemia,hypocalcemia
heaviness,lightness
assimilate,dissimilate
evitable,inevitable
burdened,unburdened
coated,uncoated
coherently,incoherently
neurotic_depression,psychotic_depression
ascending_node,descending_node
dependable,undependable
dicotyledonous,monocotyledonous
open,shut
fortissimo,pianissimo
hollowness,solidity
end,middle
oleophilic,oleophobic
dishonesty,honesty
nonprofessional,professional
disliked,liked
expendable,unexpendable
intended,unintended
concealing,revealing
saddle,unsaddle
nonprescription,prescription
debilitating,invigorating
attentive,inattentive
molar,molecular
futurity,presentness
insectivorous,omnivorous
productive,unproductive
mononuclear,trinucleate
cataphatism,doctrine_of_analogy
circumstantial_evidence,direct_evidence
impermissibility,permissibility
extrinsic,intrinsic
helpful,unhelpful
greater,lesser
conjunct,disjunct
dark,light
conveniently,inconveniently
broad-mindedness,narrow-mindedness
closed,open
king,queen
follow,precede
consecrate,desecrate
irresoluteness,resoluteness
dedicated,undedicated
deposit,withdraw
finish,start
connected,unconnected
demythologize,mythologize
profundity,superficiality
hypercapnia,hypocapnia
granter,withholder
landed,landless
stratified,unstratified
complete,incomplete
multidimensional_language,one-dimensional_language
common,individual
boil,freeze
dock,undock
first,last
registered,unregistered
inoffensively,offensively
alternating_current,direct_current
intransitivity,transitivity
naive,sophisticated
sized,unsized
considerately,inconsiderately
inquiring,uninquiring
efficiently,inefficiently
animateness,inanimateness
general,particular
be_active,rest
unvariedness,variedness
avoid,confront
alcoholic,nonalcoholic
play_down,play_up
delicate,rugged
interspecies,intraspecies
multilateral,unilateral
tactfully,tactlessly
fortunate,unfortunate
accuracy,inaccuracy
combinative,noncombinative
injustice,justice
preparation,resolution
conditionally,unconditionally
opposed,unopposed
excitable,unexcitable
purposefulness,purposelessness
little,much
Lady,Lord
conclusively,inconclusively
chain,unchain
accelerate,decelerate
illegibility,legibility
leavened,unleavened
cautiously,incautiously
proactive,retroactive
pull,push
publishable,unpublishable
auspiciously,inauspiciously
domestic,undomestic
eusporangiate,leptosporangiate
immature,mature
discriminating,undiscriminating
conception,misconception
musically,unmusically
absent,present
empty,full
obtrusive,unobtrusive
manfully,unmanfully
gather,spread
noisy,quiet
big,little
amateurishly,expertly
demagnetize,magnetize
progressive,regressive
literalize,spiritualize
intolerantly,tolerantly
justifiably,unjustifiably
conspicuous,inconspicuous
employee,employer
unwaxed,waxed
better,worse
styleless,stylish
forte,piano
changed,unchanged
matched,mismatched
scramble,unscramble
man,woman
downwards,upwards
drained,undrained
infield,outfield
hypertension,hypotension
impious,pious
allogeneic,xenogeneic
costive,laxative
considerable,inconsiderable
generic_wine,varietal_wine
altricial,precocial
familiar,unfamiliar
impractical,practical
multiform,uniform
steadily,unsteadily
eager,uneager
distrustfully,trustfully
largeness,smallness
solvability,unsolvability
exhausted,unexhausted
cheap,expensive
illness,wellness
binucleate,trinucleate
formally,informally
assigned,unassigned
first,second
charge,pay_cash
monosemy,polysemy
equitably,inequitably
adhesive,nonadhesive
non-proliferation,proliferation
impermanence,permanence
laureled,unlaureled
graciousness,ungraciousness
sympathetically,unsympathetically
anabolism,catabolism
box,unbox
irreducible,reducible
closing,opening
accept,reject
insufficiently,sufficiently
loudly,softly
absolve,blame
defensive,offensive
foreign,native
elegant,inelegant
distrustful,trustful
shockable,unshockable
ectomorphic,mesomorphic
thoughtfulness,unthoughtfulness
advantage,disadvantage
even,odd
political_correctness,political_incorrectness
ambiguous,unambiguous
connectedness,disconnectedness
float,sink
mark_down,mark_up
popularity,unpopularity
cismontane,tramontane
disloyalty,loyalty
scientific,unscientific
dematerialize,materialize
all,some
addition,subtraction
immortality,mortality
de_facto,de_jure
imperfectly,perfectly
fall_short_of,satisfy
disobedience,obedience
enthusiastically,unenthusiastically
unvoiced,voiced
harmful,harmless
migratory,nonmigratory
livable,unlivable
artificially,naturally
acrocarpous,pleurocarpous
intemperance,temperance
inorganic,organic
affinity,consanguinity
break,make
merited,unmerited
corrigible,incorrigible
evenness,unevenness
left-handed,right-handed
center,left
stimulating,unstimulating
have,lack
appetizing,unappetizing
radiolucent,radiopaque
conservative,liberal
excited,unexcited
nonparticulate,particulate
maximally,minimally
happiness,unhappiness
anterograde,retrograde
right,wrongly
branded,unbranded
concentricity,eccentricity
text_edition,trade_edition
inflow,outflow
cleanness,dirtiness
let_out,take_in
international_waters,territorial_waters
desirable,undesirable
sealed,unsealed
thick,thin
lowered,raised
abruptness,gradualness
complicate,simplify
dramatically,undramatically
nonsingular_matrix,singular_matrix
benign,malignant
disunify,unify
reflected,unreflected
scrupulousness,unscrupulousness
monochromatic,polychromatic
neighborliness,unneighborliness
camphorated,uncamphorated
ferned,fernless
antimagnetic,magnetic
dioecious,monoecious
competence,incompetence
conform_to,violate
favorably,unfavorably
crannied,uncrannied
repeatable,unrepeatable
alphabetic,analphabetic
inner,outer
imperceptibility,perceptibility
egress,ingress
backward,forward
boneless,bony
boldness,timidity
persuasiveness,unpersuasiveness
begin,end
unwilling,willing
decent,indecent
bivalent,multivalent
autoecious,heteroecious
decorously,indecorously
progress,regress
insecureness,secureness
affectedness,unaffectedness
endothermic,exothermic
attach,detach
cover,uncover
at_least,at_most
blemished,unblemished
virtuous,wicked
aborad,orad
judgmental,nonjudgmental
defuse,fuse
helpfully,unhelpfully
animate,inanimate
ancestor,descendant
postnuptial,prenuptial
hygienically,unhygienically
extinguishable,inextinguishable
extensive,intensive
level,raise
prepared,unprepared
reported,unreported
hold,let_go_of
cortex,medulla
nonterritorial,territorial
real,unreal
in-basket,out-basket
cellular,noncellular
comprehensively,noncomprehensively
downward,upward
exact,inexact
horizontal,vertical
Romanticism,classicism
spoken,written
leave_office,take_office
admit,reject
boy,girl
nonruminant,ruminant
irrevocable,revocable
thoughtfulness,thoughtlessness
plug_in,unplug
bad_person,good_person
cross,uncross
courage,cowardice
shaven,unshaven
attractive,unattractive
sonic,supersonic
conventional,unconventional
denationalize,nationalize
curdle,homogenise
atypically,typically
move_in,move_out
unwomanly,womanly
carnivorous,insectivorous
gaseous,liquid
categorematic,syncategorematic
impenitently,penitently
inside,outside
amicable,hostile
unwarily,warily
export,import
unworthiness,worthiness
antagonistic,conciliatory
kindness,unkindness
draftee,volunteer
enthusiastic,unenthusiastic
accompanied,unaccompanied
monophonic_music,polyphonic_music
high,low
impossible,possible
particular_proposition,universal_proposition
disinclination,inclination
longness,shortness
pointedness,unpointedness
claim,disclaim
felicitously,infelicitously
artesian,subartesian
artful,artless
antagonistic,synergistic
conquerable,unconquerable
asyndetic,syndetic
mental_health,mental_illness
disreputably,reputably
rural,urban
nontaxable,taxable
rimless,rimmed
back,veer
keep_quiet,talk
actively,passively
multiply,singly
impaired,unimpaired
adventurous,unadventurous
dissimilarity,similarity
brightness,dullness
odorless,odorous
antrorse,retrorse
appendaged,unappendaged
unwholesomeness,wholesomeness
twist,untwist
appealingly,unappealingly
confined,invasive
acquittal,conviction
solved,unsolved
rising_trot,sitting_trot
active_trust,passive_trust
late,middle
orthodox,unorthodox
